TeacherExp,SchoolID,TestScore,SmallClass,Boy,FreeLunch
8,5,839,0,0,0
12,6,871,1,1,1
8,3,994,0,0,0
8,76,924,1,1,1
8,57,903,0,1,0
13,66,952,0,0,0
9,3,875,0,0,0
10,68,1046,0,0,1
10,70,889,0,0,1
21,23,908,0,0,0
15,43,870,1,1,0
13,11,1082,0,0,0
6,63,875,0,1,0
"first year teacher",7,910,0,0,1
13,80,967,0,1,0
11,9,905,0,1,0
6,24,830,0,1,1
15,7,959,0,0,1
20,23,884,0,0,0
1,14,890,0,0,1
3,56,889,1,0,1
"first year teacher",19,942,0,1,1
10,68,869,0,1,1
11,9,916,0,1,1
11,15,826,0,1,1
8,38,950,1,0,1
10,68,1023,0,0,0
2,39,905,1,1,1
5,9,881,0,1,0
4,62,921,0,1,0
5,29,876,0,1,1
5,60,976,0,0,0
14,74,1105,1,1,0
22,61,905,0,1,0
11,47,887,1,1,0
10,1,847,0,0,0
17,2,919,0,1,0
10,72,856,0,1,0
20,12,956,0,0,1
5,29,926,1,1,1
10,68,958,0,1,1
9,3,1017,1,1,0
12,10,956,0,1,0
14,52,966,1,1,0
16,22,912,0,1,1
16,51,903,1,1,1
21,56,823,1,0,0
12,51,978,0,1,0
17,58,1061,0,1,0
18,25,796,0,1,0
6,24,907,0,0,1
9,28,893,0,1,1
2,71,870,0,0,0
13,56,805,0,1,0
20,3,1045,0,0,0
"first year teacher",17,956,0,1,0
14,36,956,0,0,0
2,30,996,1,1,1
8,76,869,1,1,1
17,43,884,0,1,0
5,28,837,0,1,1
13,24,917,1,0,0
10,27,1036,0,0,1
3,66,888,0,0,1
3,7,899,0,1,1
14,9,845,0,0,0
15,47,857,0,0,0
20,3,908,0,1,1
11,61,888,1,1,0
8,8,993,1,0,0
8,78,906,0,1,0
4,7,1074,1,1,0
4,48,963,0,0,0
10,72,834,0,1,1
11,59,987,1,0,0
15,66,903,1,0,0
14,73,936,0,0,0
5,47,958,0,1,1
5,17,811,1,1,1
7,4,884,0,1,0
11,18,976,0,1,0
13,56,766,0,1,0
11,64,879,0,0,1
8,38,876,1,1,0
5,47,863,0,1,1
20,64,914,0,0,0
3,44,1007,1,1,1
1,14,853,0,0,1
6,7,810,1,1,1
15,26,902,0,0,0
5,29,939,0,0,1
4,40,1036,1,0,0
1,16,927,1,1,1
1,14,952,0,1,1
13,9,934,1,1,0
9,65,902,0,1,0
7,28,1048,0,0,1
7,61,929,1,0,0
3,10,1042,0,1,0
5,33,882,0,1,1
11,51,871,0,0,1
10,63,981,0,0,1
"first year teacher",27,1007,0,0,1
10,18,948,1,1,1
17,36,928,1,1,0
10,42,853,1,0,1
15,55,911,1,1,1
5,21,1109,0,0,0
17,29,927,0,1,1
1,33,869,1,0,1
16,68,1068,0,1,1
17,58,1001,0,0,0
6,71,863,0,1,1
3,7,997,0,0,1
17,16,862,0,1,1
13,60,908,0,0,0
12,10,961,1,0,0
4,35,902,0,0,0
5,60,944,0,0,1
4,35,842,0,0,1
11,61,1003,1,1,0
8,61,915,0,0,0
8,8,844,1,0,0
12,79,887,0,1,1
"first year teacher",7,1043,0,0,0
16,68,1028,0,0,1
10,3,1002,1,0,0
6,7,801,1,1,1
15,21,979,0,0,1
3,56,903,0,1,0
13,48,883,0,0,0
5,21,989,0,1,1
5,33,853,0,0,1
11,45,800,0,0,1
5,35,867,1,0,0
11,51,926,0,0,0
22,76,908,1,1,1
9,3,991,1,1,0
12,63,891,0,1,1
8,74,971,0,0,0
5,39,837,0,0,1
3,10,932,0,0,0
15,51,1015,1,0,0
13,60,796,0,1,1
13,79,1005,0,0,0
13,60,870,0,1,1
6,19,946,1,1,1
13,14,884,1,0,1
8,72,997,0,0,0
"first year teacher",31,925,0,1,1
11,75,1114,0,0,1
8,5,964,1,0,0
4,46,965,1,1,0
15,7,1100,0,0,0
20,3,949,0,0,0
2,16,803,1,1,1
9,22,953,1,1,1
8,74,989,0,0,0
16,22,823,0,0,1
3,28,929,1,1,1
9,53,846,0,0,1
1,16,974,1,1,1
9,3,921,0,1,0
"first year teacher",19,989,0,1,0
2,57,942,0,0,0
13,50,874,0,1,1
15,21,928,0,0,1
12,34,805,1,1,0
6,2,878,0,1,1
10,24,831,0,0,1
12,35,924,0,1,0
7,9,967,1,0,0
13,55,979,0,1,1
13,55,888,0,1,0
"first year teacher",7,943,0,1,0
11,75,1052,0,0,0
10,28,789,0,1,1
3,22,1046,1,0,1
13,14,1164,1,0,1
11,75,975,0,1,0
1,6,811,0,1,1
12,8,894,0,0,0
8,16,844,0,1,1
3,58,932,0,1,0
11,6,1019,0,0,0
2,39,913,1,0,1
8,76,967,1,0,1
"first year teacher",19,852,0,1,1
11,64,841,0,1,1
12,45,802,0,1,1
19,64,829,1,1,1
7,9,790,1,1,1
6,28,806,1,1,0
17,2,924,0,1,1
17,43,888,0,0,0
"first year teacher",17,783,0,1,1
11,27,994,1,0,1
8,78,879,0,1,0
11,23,976,1,1,0
5,9,945,0,0,0
11,75,917,0,1,0
13,8,897,0,0,0
10,24,946,0,1,0
11,11,928,0,1,1
9,22,1027,1,1,1
10,18,884,0,0,1
6,27,969,0,0,1
2,32,856,0,1,1
15,36,871,0,1,0
11,75,900,0,0,0
10,42,768,1,1,0
14,32,948,1,1,1
2,71,859,0,0,1
20,27,957,0,0,1
17,43,919,0,0,0
6,31,1032,1,1,1
6,63,837,0,0,1
6,50,809,1,1,1
5,67,946,1,1,1
3,75,930,1,0,1
8,5,832,0,1,1
5,64,912,0,1,0
14,1,986,1,0,1
8,58,944,1,0,0
3,15,784,0,1,1
3,45,861,1,1,1
7,63,853,0,0,1
1,26,786,1,0,0
4,35,936,0,0,0
4,39,891,0,1,1
13,55,919,0,1,0
21,56,921,1,1,1
5,28,829,0,1,1
2,76,922,0,1,0
17,34,866,0,1,0
6,24,873,0,0,1
"first year teacher",44,876,0,1,1
1,76,911,0,0,0
11,75,979,0,0,0
12,54,953,1,1,0
5,35,861,1,1,1
11,6,845,0,0,1
11,31,1028,0,0,1
5,51,848,0,1,0
13,56,820,0,1,0
20,17,891,1,1,0
9,7,1039,0,0,0
8,70,854,1,1,1
"first year teacher",44,878,0,1,1
13,48,856,0,0,1
20,27,996,0,0,1
13,54,910,0,1,0
3,78,890,0,0,0
21,56,780,1,0,1
3,15,792,0,0,1
13,55,933,0,0,1
13,24,945,1,1,0
11,22,942,0,0,1
8,49,928,1,1,0
13,8,879,1,1,0
13,60,937,0,0,0
10,3,1072,1,1,0
4,39,961,0,0,1
5,67,955,1,1,0
21,40,876,0,0,1
12,27,1037,0,0,1
20,17,910,1,1,0
13,74,918,0,1,0
18,41,991,1,1,0
6,69,917,0,0,0
1,19,904,0,1,1
3,58,948,0,0,0
7,28,887,0,0,1
5,28,902,0,1,0
8,3,899,0,0,1
8,28,913,1,0,1
10,70,984,0,1,0
6,68,898,1,0,1
6,39,889,1,0,1
5,1,952,0,1,0
13,48,930,0,1,1
1,76,849,0,1,1
5,34,894,0,0,0
"first year teacher",31,963,0,1,1
9,28,854,0,0,1
5,51,828,0,0,0
13,55,920,0,0,0
2,73,950,1,0,1
2,28,805,1,0,1
11,64,856,0,0,1
19,64,927,1,0,0
12,51,944,0,0,0
12,20,847,0,1,1
8,78,905,0,1,1
12,79,916,1,1,0
1,19,952,0,0,1
8,5,1080,1,0,0
8,72,826,0,1,1
6,72,1036,1,1,0
13,55,861,0,0,1
8,16,879,0,1,1
13,51,976,0,1,0
5,37,853,0,0,0
11,37,947,0,0,0
5,28,883,0,1,1
6,2,898,0,1,1
14,59,985,1,0,0
11,60,902,1,0,1
11,59,908,1,0,0
15,26,893,0,0,1
15,47,961,0,1,1
8,41,1043,1,1,0
7,54,889,0,0,0
11,75,886,0,1,0
11,51,907,0,1,0
9,53,870,1,0,0
6,19,837,0,1,1
10,42,831,1,1,0
2,32,865,0,1,1
12,8,908,0,0,0
19,64,1054,1,0,0
3,78,879,0,1,0
8,16,852,0,1,1
10,42,921,1,1,0
"first year teacher",46,812,0,1,1
13,8,891,0,0,0
12,46,877,0,1,1
8,57,960,1,1,0
22,33,898,0,0,1
8,4,812,0,1,0
13,80,942,0,1,0
5,47,928,0,1,0
"first year teacher",7,837,0,1,0
19,64,1121,1,1,0
10,18,831,1,1,1
21,15,917,1,0,1
6,24,953,0,0,0
3,66,908,0,0,0
18,52,966,0,0,0
17,2,856,0,1,1
"first year teacher",4,887,1,1,0
11,11,1003,1,0,0
27,70,816,0,1,0
2,28,831,1,1,1
3,44,914,1,1,0
11,11,1028,1,1,1
4,48,983,0,0,0
12,2,918,1,1,1
13,66,998,0,1,1
7,22,839,0,0,1
8,5,911,0,0,0
4,80,837,0,1,0
3,7,991,0,0,0
8,61,845,0,1,0
12,8,831,0,1,1
13,55,891,0,0,1
3,42,893,0,0,0
11,9,820,0,0,1
3,22,1140,1,0,1
11,22,839,0,0,1
17,43,850,0,1,0
2,28,913,1,0,1
10,72,981,0,1,0
12,35,960,0,0,1
14,42,1020,0,1,0
5,33,855,0,0,1
13,76,857,0,1,0
5,51,956,0,1,1
8,72,860,0,1,1
5,58,979,1,0,0
8,9,928,0,1,0
2,40,1083,0,1,0
6,13,957,0,0,0
11,9,866,0,0,1
10,68,956,0,1,0
17,2,880,0,1,1
"first year teacher",27,908,0,0,1
8,49,933,1,1,1
11,59,989,1,0,1
15,7,927,0,1,0
10,70,830,0,1,0
1,19,953,0,0,1
4,35,851,0,1,0
8,68,944,1,0,1
18,41,1079,1,0,0
14,70,973,0,1,1
21,40,901,0,1,0
15,55,836,1,1,1
13,56,846,0,0,0
"first year teacher",59,951,0,0,0
10,1,862,0,1,0
3,78,906,0,0,0
5,28,987,0,0,1
3,32,813,0,0,1
10,72,981,0,1,1
5,33,730,0,1,1
3,78,871,0,1,0
4,7,832,1,0,1
11,51,880,0,0,1
2,73,848,1,1,0
4,39,959,0,0,1
13,56,853,0,1,1
8,4,907,0,1,0
13,75,979,0,1,0
5,37,909,0,1,0
"first year teacher",42,916,1,1,0
12,15,960,1,1,1
5,58,998,1,0,0
1,26,852,1,1,1
6,68,1033,1,0,1
8,38,964,1,0,0
1,33,896,1,1,1
10,1,944,0,1,0
10,27,1010,0,1,0
8,61,909,0,0,0
1,14,863,0,0,1
"first year teacher",42,1114,1,1,0
3,43,859,0,1,0
12,46,921,0,1,1
5,64,852,0,0,1
"first year teacher",4,852,1,1,0
10,27,1016,0,1,1
13,37,925,1,1,0
1,14,881,0,0,1
14,21,949,1,1,0
8,17,976,0,1,0
"first year teacher",43,924,1,1,0
14,9,837,1,1,1
27,70,876,0,0,1
15,51,1020,1,1,0
14,21,924,1,1,0
2,73,834,1,0,1
13,75,999,0,0,0
15,26,888,0,1,1
21,20,888,1,1,1
5,51,963,0,0,0
1,14,949,0,0,1
22,61,948,0,0,0
7,54,912,0,1,0
10,27,1015,0,0,0
21,48,944,1,1,1
1,20,1008,0,0,0
8,16,860,0,1,1
8,9,901,0,1,1
13,74,939,0,1,0
12,65,928,0,0,1
12,50,963,1,0,0
11,75,946,0,0,0
17,58,957,0,0,0
4,62,929,0,0,0
"first year teacher",17,834,0,1,1
2,19,919,1,0,1
17,16,799,0,0,1
22,61,905,0,0,0
10,68,947,0,1,0
3,28,916,1,1,1
1,19,925,0,1,1
18,52,996,0,0,0
4,13,950,1,0,1
12,8,878,0,1,1
3,53,849,0,1,0
11,11,1015,1,0,0
11,49,897,0,0,1
15,7,1019,0,1,0
6,69,997,1,1,0
8,74,903,0,0,0
10,68,824,0,0,1
10,28,889,0,1,1
6,7,1004,1,1,0
3,10,884,0,1,0
17,36,899,1,0,0
8,17,927,0,1,1
9,7,839,0,1,0
"first year teacher",7,811,0,1,1
1,6,926,0,1,0
14,21,1044,1,0,0
7,54,1058,0,0,0
12,25,803,1,1,1
9,53,895,1,0,0
12,45,835,0,1,1
1,33,870,1,1,1
"first year teacher",37,914,0,1,0
12,10,1056,0,0,0
2,71,947,0,1,0
9,1,924,0,0,0
11,75,1017,0,1,0
11,9,922,0,0,0
"first year teacher",27,994,0,0,1
5,51,861,0,1,0
10,18,968,1,1,1
6,33,857,0,1,1
17,43,1002,0,1,0
5,28,918,0,1,1
11,22,887,0,0,1
13,76,1050,0,1,0
8,58,915,1,1,0
"first year teacher",23,916,1,0,0
17,36,998,1,1,0
16,62,862,0,0,1
4,39,847,0,0,0
5,9,1000,0,1,0
14,21,959,1,1,0
"first year teacher",7,949,0,0,0
5,51,955,0,1,0
12,46,944,0,1,0
3,43,893,0,0,0
2,71,831,0,0,0
6,19,900,0,1,1
8,68,968,1,0,0
3,44,963,1,1,1
6,31,975,1,0,1
10,66,903,1,1,1
5,28,802,0,0,1
8,17,989,0,1,0
12,54,878,1,0,0
6,13,789,0,1,1
20,12,867,0,1,1
12,74,972,1,1,1
15,26,914,0,0,1
3,58,1097,0,1,0
5,24,876,1,0,1
10,30,999,0,0,1
8,61,839,0,1,0
1,23,964,0,0,0
12,50,839,1,0,1
5,64,878,0,1,0
12,72,908,0,0,0
16,41,1038,0,1,0
6,63,854,0,0,0
13,8,864,1,1,0
5,28,910,0,1,1
8,5,800,0,0,1
8,78,936,0,1,0
6,28,981,1,0,1
13,75,954,0,0,0
7,4,931,0,0,0
13,9,978,1,1,0
22,76,892,1,0,0
11,64,887,0,0,0
11,51,821,0,0,0
11,60,962,1,0,0
8,68,1031,1,0,0
12,12,910,0,1,1
2,25,845,0,0,1
11,45,802,0,0,1
2,32,880,0,0,1
1,19,945,0,0,1
10,27,1092,0,0,1
15,41,926,0,1,0
13,11,1044,0,0,0
4,46,947,1,1,0
8,38,877,1,0,0
4,13,1029,1,1,0
11,49,989,0,0,1
